First Semester  Year 20201 Status Active,Unnamed: 0,Regular Major,Information Sy,Unnamed: 1,First Semester  Year 20211 Status Active,Unnamed: 2,Regular Major.1,Information Sy.1,Unnamed: 3,Second Semester  Year 20202 Status Active,Unnamed: 4,Unnamed: 5,Unnamed: 6,course code,course name,Grade Hrs,Pts,Second Semester  Year 20212 Status Active,First Semester  Year 20221 Status Active,First Semester  Year 20231 Status Active,Second Semester  Year 20232 Status Active,Second Semester  Year 20222 Status Active,Third semester  Year 20233 Status Active,First Semester  Year 20241 Status Active,Summer Semester  Year 20235 Status Active,Second Semester  Year 20242 Status Active,Third semester  Year 20243,Status Active
course code course name,,,Grade Hrs,Pts,course code course name,,,Grade Hrs,Pts,,,,,,,,,,,,,,,,,,,
100MATH-3Mathematics,,,D 3,6,ARB101-2Arabic Language Skills,,,A+ 2,10,,,,,,,,,,,,,,,,,,,
CSC101-3Introduction to Computer,,,C+ 3,10.5,SLM103-2Islamic Culture III,,,A+ 2,10,,,,,,,,,,,,,,,,,,,
SLM101-2Islamic Culture I,,,A 2,9.5,111INFS-3Introduction to Information System,,,A+ 3,15,,,,,,,,,,,,,,,,,,,
103ENG-6Intensive English Course 1,,,B+ 6,27,112COMP-3Programming 2,,,B+ 3,13.5,,,,,,,,,,,,,,,,,,,
,,,,,201PHYS-4Principles of Physics,,,C+ 4,14,,,,,,,,,,,,,,,,,,,
Hrs AHRS EHRS,QHRS,QPTS,GPA,,,,,,,,,,,,,,,,,,,,,,,,,
Current  14.00  14.00,14.00,53.00,3.79,,Hrs AHRS EHRS QHRS,,QPTS,GPA,,,,,,,,,,,,,,,,,,,,
Cumulative  14.00  14.00,14.00,53.00,3.79,,Current  14.00  14.00  14.00,,62.50,4.46,,,,,,,,,,,,,,,,,,,,
,,,Grade Hrs,Pts,,Second Semester  Year 20212 Status Active,,,,course code course name,Regular Major,Information Sy,,,,,,,,,,,,,,,,
,,,A+ 3,15,,course code course name,,,,011COMP-3Programming 1,,Grade Hrs,Pts,,,,,,,,,,,,,,,
,,,B+ 3,13.5,,ARB102-2Arabic Writing,,,,102MATH-3Matrix Algebra,,B+ 2,9,,,,,,,,,,,,,,,
,,,A+ 2,10,,SLM104-2Islamic Culture IV,,,,SLM102-2Islamic Culture II,,A+ 2,10,,,,,,,,,,,,,,,
,,,A+ 6,30,,112INFS-3Management Information Systems,,,,104ENGL-6Intensive English Course 2,,A+ 3,15,,,,,,,,,,,,,,,
,,,,,,201MATH-3Differentiation & Integration,,,,,,B 3,12,,,,,,,,,,,,,,,
,QHRS,QPTS,GPA,,,,,,,Hrs AHRS EHRS,,,,,,,,,,,,,,,,,,
